Date,Word,Count
2020-05-05,Obama,48
2020-05-06,Obama,49
2020-05-08,Obama,76
2020-05-08,Obama,85
2020-05-09,Obama,74
2020-05-10,Obama,92
2020-05-11,Obama,15
2020-05-12,Obama,70
2020-05-13,Obama,75
2020-05-14,Obama,89
2020-05-15,Obama,104
2020-05-21,Obama,29
2020-05-22,Obama,33
2020-05-24,Obama,5
2020-05-25,Obama,24
2020-05-26,Obama,27
2020-05-27,Obama,38
2020-05-28,Obama,12
2020-05-29,Obama,24
2020-05-31,Obama,15
2020-06-01,Obama,16
2020-06-02,Obama,20
2020-06-03,Obama,8
2020-06-04,Obama,31
2020-06-05,Obama,17
2020-06-06,Obama,16
2020-06-07,Obama,8
2020-06-08,Obama,20
2020-06-09,Obama,37
2020-06-09,Obama,38
2020-06-10,Obama,7
2020-06-11,Obama,6
2020-06-13,Obama,16
2020-06-15,Obama,18
2020-06-16,Obama,29
2020-06-17,Obama,25
2020-06-17,Obama,25
2020-06-18,Obama,29
2020-06-19,Obama,32
2020-06-20,Obama,29
2020-06-21,Obama,11
2020-06-23,Obama,5
2020-06-27,Obama,15
2020-06-29,Obama,24
2020-06-30,Obama,22
2020-07-01,Obama,5
2020-07-01,Obama,12
2020-07-02,Obama,11
2020-07-03,Obama,5
2020-07-04,Obama,33
2020-07-05,Obama,4
2020-07-05,Obama,5
2020-07-06,Obama,26
2020-07-07,Obama,22
2020-07-08,Obama,11
2020-07-09,Obama,36
2020-07-10,Obama,23
2020-07-11,Obama,37
2020-07-12,Obama,15
2020-07-13,Obama,15
2020-07-14,Obama,31
2020-07-15,Obama,10
2020-07-20,Obama,18
2020-07-21,Obama,30
2020-07-22,Obama,22
2020-07-23,Obama,48
2020-07-24,Obama,33
2020-07-27,Obama,19
2020-07-28,Obama,26
2020-07-29,Obama,41
2020-07-30,Obama,22
2020-07-31,Obama,68
2020-08-04,Obama,19
2020-08-05,Obama,25
2020-08-07,Obama,16
2020-08-09,Obama,13
2020-08-11,Obama,28
2020-08-12,Obama,47
2020-08-14,Obama,35
2020-08-17,Obama,49
2020-08-18,Obama,114
2020-08-20,Obama,188
2020-08-21,Obama,36
2020-08-24,Obama,17
2020-08-26,Obama,43
2020-08-27,Obama,22
2020-08-28,Obama,55
2020-08-30,Obama,1
2020-08-31,Obama,14
2020-09-03,Obama,20
2020-09-04,Obama,12
2020-09-08,Obama,20
2020-09-09,Obama,24
2020-09-10,Obama,29
2020-09-11,Obama,56
2020-09-13,Obama,9
2020-09-14,Obama,20
2020-09-15,Obama,38
2020-09-16,Obama,7
2020-09-19,Obama,32
2020-09-20,Obama,12
2020-09-22,Obama,51
2020-09-23,Obama,39
2020-09-26,Obama,32
2020-09-27,Obama,21
2020-09-28,Obama,12
2020-09-29,Obama,25
2020-09-30,Obama,34
2020-10-01,Obama,19
2020-10-02,Obama,24
2020-10-03,Obama,40
2020-10-04,Obama,2
2020-10-05,Obama,14
2020-10-06,Obama,45
2020-10-07,Obama,60
2020-10-08,Obama,23
2020-10-11,Obama,13
2020-10-12,Obama,59
